,acc_id,acc_date,acc_state,acc_city,industry_sector,device_type,num_injured
0,1007272,2009-04-05,CA,Anaheim,amusement ride,Track ride,1
1,918972,2009-02-05,FL,Naples,amusement ride,Flying carpet ride,1
2,919123,2008-11-08,CA,Buena Park,amusement ride,Coaster - steel,1
3,919095,2008-11-01,CA,Anaheim,amusement ride,Spinning cups/tubs,1
4,919094,2008-10-29,CA,Anaheim,amusement ride,Spinning cups/tubs,1
5,917423,2008-10-24,CA,Anaheim,amusement ride,Carousel,1
6,919071,2008-10-19,CA,Anaheim,amusement ride,Coaster - steel,1
7,919075,2008-10-17,CA,Anaheim,amusement ride,Track ride,1
8,919125,2008-10-15,CA,Buena Park,amusement ride,Coaster - wooden,1
9,919087,2008-10-14,CA,Anaheim,amusement ride,Plane/jet/helicopter,1
10,919130,2008-10-12,CA,Buena Park,amusement ride,Flume ride,1
11,919070,2008-10-11,CA,Los Angeles,amusement ride,Coaster - wooden,1
12,919194,2008-10-05,CA,Los Angeles,amusement ride,Coaster - steel,1
13,919055,2008-10-04,CA,Riverside,amusement ride,Orbiter/octopus-type,1
14,919115,2008-10-03,CA,Anaheim,amusement ride,Simulator,1
15,919196,2008-10-01,CA,Los Angeles,amusement ride,Coaster - steel,1
16,919057,2008-09-27,CA,Upland,amusement ride,Bumper boat,1
17,919074,2008-09-26,CA,Anaheim,amusement ride,Drop tower,1
18,919127,2008-09-26,CA,Buena Park,amusement ride,Coaster - wooden,1
19,919096,2008-09-21,CA,Anaheim,amusement ride,Coaster - steel,1
20,919097,2008-09-21,CA,Anaheim,amusement ride,Coaster - steel,1
21,919076,2008-09-20,CA,Anaheim,amusement ride,Bumper car,1
22,919128,2008-09-20,CA,Buena Park,amusement ride,Flipping platform,1
23,919126,2008-09-18,CA,Buena Park,amusement ride,Coaster - wooden,1
24,919081,2008-09-14,CA,Anaheim,amusement ride,Track ride,1
25,919056,2008-09-13,CA,Anaheim,amusement ride,Plane/jet/helicopter,1
26,919102,2008-09-12,CA,Anaheim,amusement ride,Boat ride,1
27,919092,2008-09-09,CA,Anaheim,amusement ride,Carousel,1
